Order ID,Order Date,CustomerName,State,City,Order ID.1,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,Year,Month,Quarter,Day,Weekday,Profit_Margin_%,Avg_Price,Order_Type,Profit_Status,Customer_Total_Spend,Total_Orders,Customer_Total_Profit,Customer_Segment,Profit_Category,Average_Customer_Spend,Estimated_CLV,Discount_Impact,Sales_Performance
B-25919,2018-12-23,Neha,Rajasthan,Udaipur,B-26097,663,-212,5,Electronics,Printers,UPI,2018.0,December,4.0,23.0,Sunday,-31.98,132.6,Low Value,Loss,663,1,-212,Low Value,Loss,663.0,663.0,High,Average
B-25768,2018-09-01,Shreyoshe,Karnataka,Bangalore,B-25710,10,-1,1,Clothing,Leggings,UPI,2018.0,September,3.0,1.0,Saturday,-10.0,10.0,Low Value,Loss,10,1,-1,Low Value,Loss,10.0,10.0,High,Average
B-25629,2018-04-24,Hemant,Kerala,Thiruvananthapuram,B-25797,1630,802,5,Furniture,Tables,EMI,2018.0,April,2.0,24.0,Tuesday,49.2,326.0,Low Value,Profit,1640,2,804,Low Value,High Profit,820.0,1640.0,Low,Average
B-25729,2018-07-22,Madhulika,Madhya Pradesh,Bhopal,B-25618,12,0,2,Clothing,Hankerchief,UPI,2018.0,July,3.0,22.0,Sunday,0.0,6.0,Low Value,Break Even,12,1,0,Low Value,Loss,12.0,12.0,Low,Average
B-25943,2018-01-09,Shardul,Gujarat,Ahmedabad,B-25723,12,-7,2,Clothing,Leggings,UPI,2018.0,January,1.0,9.0,Tuesday,-58.33,6.0,Low Value,Loss,12,1,-7,Low Value,Loss,12.0,12.0,High,Average
B-25842,2018-11-02,Sheetal,Maharashtra,Pune,B-25755,1709,564,3,Clothing,Trousers,Credit Card,2018.0,November,4.0,2.0,Friday,33.0,569.67,Low Value,Profit,2998,4,870,Low Value,High Profit,749.5,2998.0,Low,Average
B-26073,2018-03-21,Pournamasi,Madhya Pradesh,Indore,B-25788,12,3,1,Clothing,Stole,UPI,2018.0,March,1.0,21.0,Wednesday,25.0,12.0,Low Value,Profit,46,2,-19,Low Value,Medium Profit,23.0,46.0,Low,Average
B-25778,2018-09-11,Surabhi,Maharashtra,Mumbai,B-25681,1625,-77,3,Electronics,Phones,EMI,2018.0,September,3.0,11.0,Tuesday,-4.74,541.67,Low Value,Loss,1805,3,-66,Low Value,Loss,601.67,1805.01,High,Average
B-25717,2018-07-12,Manshul,Uttar Pradesh,Lucknow,B-25991,13,5,2,Clothing,Hankerchief,UPI,2018.0,July,3.0,12.0,Thursday,38.46,6.5,Low Value,Profit,13,1,5,Low Value,Medium Profit,13.0,13.0,Low,Average
B-26085,2018-03-26,Shrichand,Punjab,Chandigarh,B-25779,1361,980,3,Furniture,Tables,COD,2018.0,March,1.0,26.0,Monday,72.01,453.67,Low Value,Profit,1824,3,1091,Low Value,High Profit,608.0,1824.0,Low,Average
B-26048,2018-03-04,Parth,Maharashtra,Pune,B-25909,1622,-448,3,Electronics,Phones,EMI,2018.0,March,1.0,4.0,Sunday,-27.62,540.67,Low Value,Loss,1718,2,-496,Low Value,Loss,859.0,1718.0,High,Average
B-25793,2018-09-24,Siddharth,Madhya Pradesh,Indore,B-25943,1547,340,6,Electronics,Accessories,EMI,2018.0,September,3.0,24.0,Monday,21.98,257.83,Low Value,Profit,1841,2,402,Low Value,Medium Profit,920.5,1841.0,Low,Average
B-25656,2018-05-11,Priyanka,Maharashtra,Pune,B-25935,1657,460,4,Furniture,Chairs,Credit Card,2018.0,May,2.0,11.0,Friday,27.76,414.25,Low Value,Profit,2559,4,468,Low Value,Medium Profit,639.75,2559.0,Low,Average
B-25608,2018-04-08,Aarushi,Tamil Nadu,Chennai,B-25613,1603,0,9,Clothing,Saree,Credit Card,2018.0,April,2.0,8.0,Sunday,0.0,178.11,Low Value,Break Even,2815,3,116,Low Value,Loss,938.33,2814.99,Low,Average
B-25752,2018-08-14,Vaibhav,Madhya Pradesh,Indore,B-25729,1549,-439,4,Electronics,Phones,Credit Card,2018.0,August,3.0,14.0,Tuesday,-28.34,387.25,Low Value,Loss,1549,1,-439,Low Value,Loss,1549.0,1549.0,High,Average
B-25779,2018-09-12,Savi,Maharashtra,Pune,B-25772,1183,106,4,Electronics,Printers,EMI,2018.0,September,3.0,12.0,Wednesday,8.96,295.75,Low Value,Profit,1183,1,106,Low Value,Medium Profit,1183.0,1183.0,Low,Average
B-25603,2018-04-03,Jahan,Madhya Pradesh,Bhopal,B-25655,74,-123,8,Clothing,Skirt,UPI,2018.0,April,2.0,3.0,Tuesday,-166.22,9.25,Low Value,Loss,394,3,-65,Low Value,Loss,131.33,393.99,High,Average
B-26051,2018-03-07,Parishi,West Bengal,Kolkata,B-25640,1499,239,13,Clothing,Saree,Credit Card,2018.0,March,1.0,7.0,Wednesday,15.94,115.31,Low Value,Profit,1745,2,300,Low Value,Medium Profit,872.5,1745.0,Low,Average
B-25653,2018-05-08,Farah,Nagaland,Kohima,B-25810,1120,199,6,Clothing,Saree,EMI,2018.0,May,2.0,8.0,Tuesday,17.77,186.67,Low Value,Profit,1157,2,176,Low Value,Medium Profit,578.5,1157.0,Low,Average
B-25855,2018-11-08,Abhijeet,Madhya Pradesh,Bhopal,B-25801,15,-2,1,Clothing,T-shirt,Debit Card,2018.0,November,4.0,8.0,Thursday,-13.33,15.0,Low Value,Loss,689,2,-189,Low Value,Loss,344.5,689.0,High,Average
B-25762,2018-08-26,Anudeep,Madhya Pradesh,Indore,B-26085,1487,624,3,Clothing,Trousers,Credit Card,2018.0,August,3.0,26.0,Sunday,41.96,495.67,Low Value,Profit,1487,1,624,Low Value,High Profit,1487.0,1487.0,Low,Average
B-25995,2018-02-04,Yohann,Delhi,Delhi,B-25868,1118,206,2,Furniture,Tables,Credit Card,2018.0,February,1.0,4.0,Sunday,18.43,559.0,Low Value,Profit,1118,1,206,Low Value,Medium Profit,1118.0,1118.0,Low,Average
B-25929,2018-01-02,Girase,Kerala,Thiruvananthapuram,B-25714,11,-5,2,Clothing,Hankerchief,COD,2018.0,January,1.0,2.0,Tuesday,-45.45,5.5,Low Value,Loss,11,1,-5,Low Value,Loss,11.0,11.0,High,Average
B-26006,2018-02-09,Arpita,Karnataka,Bangalore,B-25784,15,4,1,Clothing,Hankerchief,Debit Card,2018.0,February,1.0,9.0,Friday,26.67,15.0,Low Value,Profit,15,1,4,Low Value,Medium Profit,15.0,15.0,Low,Average
B-25697,2018-06-22,Vijay,Jammu and Kashmir,Kashmir,B-25608,1364,1864,5,Furniture,Tables,Credit Card,2018.0,June,2.0,22.0,Friday,136.66,272.8,Low Value,Profit,1364,1,1864,Low Value,High Profit,1364.0,1364.0,Low,Average
B-25836,2018-10-29,Arti,Maharashtra,Pune,B-26051,1337,147,7,Electronics,Printers,Credit Card,2018.0,October,4.0,29.0,Monday,10.99,191.0,Low Value,Profit,1337,1,147,Low Value,Medium Profit,1337.0,1337.0,Low,Average
B-25601,2018-04-01,Bharat,Gujarat,Ahmedabad,B-25900,15,2,1,Clothing,Leggings,Debit Card,2018.0,April,2.0,1.0,Sunday,13.33,15.0,Low Value,Profit,290,3,-12,Low Value,Medium Profit,96.67,290.01,Low,Average
B-25873,2018-11-23,Divyeta,Madhya Pradesh,Indore,B-25760,322,-193,5,Electronics,Printers,UPI,2018.0,November,4.0,23.0,Friday,-59.94,64.4,Low Value,Loss,322,1,-193,Low Value,Loss,322.0,322.0,High,Average
B-26028,2018-02-20,Manju,Andhra Pradesh,Hyderabad,B-25762,1316,527,7,Electronics,Electronic Games,Credit Card,2018.0,February,1.0,20.0,Tuesday,40.05,188.0,Low Value,Profit,1744,3,581,Low Value,High Profit,581.33,1743.99,Low,Average
B-25964,2018-01-20,Oshin,Maharashtra,Pune,B-25995,1314,342,3,Furniture,Bookcases,Credit Card,2018.0,January,1.0,20.0,Saturday,26.03,438.0,Low Value,Profit,1314,1,342,Low Value,Medium Profit,1314.0,1314.0,Low,Average
B-25676,2018-06-01,Chandni,Rajasthan,Jaipur,B-25965,17,7,3,Clothing,Hankerchief,Debit Card,2018.0,June,2.0,1.0,Friday,41.18,5.67,Low Value,Profit,17,1,7,Low Value,Medium Profit,17.0,17.0,Low,Average
B-25839,2018-10-30,Pranjali,West Bengal,Kolkata,B-25967,17,2,2,Clothing,Skirt,Debit Card,2018.0,October,4.0,30.0,Tuesday,11.76,8.5,Low Value,Profit,17,1,2,Low Value,Medium Profit,17.0,17.0,Low,Average
B-25894,2018-12-04,Monu,Punjab,Amritsar,B-25674,17,-12,5,Clothing,Skirt,Debit Card,2018.0,December,4.0,4.0,Tuesday,-70.59,3.4,Low Value,Loss,17,1,-12,Low Value,Loss,17.0,17.0,High,Average
B-25925,2018-12-29,Shruti,Maharashtra,Mumbai,B-25929,1308,536,3,Furniture,Bookcases,Credit Card,2018.0,December,4.0,29.0,Saturday,40.98,436.0,Low Value,Profit,2735,4,101,Low Value,High Profit,683.75,2735.0,Low,Average
B-25953,2018-01-14,Krutika,Andhra Pradesh,Hyderabad,B-25777,1076,-38,4,Electronics,Printers,Credit Card,2018.0,January,1.0,14.0,Sunday,-3.53,269.0,Low Value,Loss,1082,2,-35,Low Value,Loss,541.0,1082.0,High,Average
B-25772,2018-09-02,Sanjana,Bihar,Patna,B-26006,1301,573,5,Electronics,Accessories,Credit Card,2018.0,September,3.0,2.0,Sunday,44.04,260.2,Low Value,Profit,2580,2,-67,Low Value,High Profit,1290.0,2580.0,Low,Average
B-25957,2018-01-18,Mahima,Madhya Pradesh,Indore,B-25697,1300,-16,8,Electronics,Printers,Credit Card,2018.0,January,1.0,18.0,Thursday,-1.23,162.5,Low Value,Loss,2155,3,173,Low Value,Loss,718.33,2154.99,High,Average
B-25730,2018-07-22,Rishabh,Rajasthan,Jaipur,B-25667,11,-2,4,Clothing,Hankerchief,COD,2018.0,July,3.0,22.0,Sunday,-18.18,2.75,Low Value,Loss,11,1,-2,Low Value,Loss,11.0,11.0,High,Average
B-25877,2018-11-24,Dashyam,Gujarat,Surat,B-25836,1298,65,9,Electronics,Printers,EMI,2018.0,November,4.0,24.0,Saturday,5.01,144.22,Low Value,Profit,1298,1,65,Low Value,Medium Profit,1298.0,1298.0,Low,Average
B-26067,2018-03-16,Tulika,Madhya Pradesh,Bhopal,B-25984,304,97,6,Clothing,Stole,UPI,2018.0,March,1.0,16.0,Friday,31.91,50.67,Low Value,Profit,343,2,113,Low Value,Medium Profit,171.5,343.0,Low,Average
B-25810,2018-10-10,Nripraj,Punjab,Chandigarh,B-25728,1055,264,4,Electronics,Printers,EMI,2018.0,October,4.0,10.0,Wednesday,25.02,263.75,Low Value,Profit,1055,1,264,Low Value,Medium Profit,1055.0,1055.0,Low,Average
B-25868,2018-11-18,Vikash,Goa,Goa,B-25757,17,-13,4,Clothing,Skirt,Debit Card,2018.0,November,4.0,18.0,Sunday,-76.47,4.25,Low Value,Loss,17,1,-13,Low Value,Loss,17.0,17.0,High,Average
B-26023,2018-02-19,Mukesh,Haryana,Chandigarh,B-25957,147,73,3,Clothing,Stole,COD,2018.0,February,1.0,19.0,Monday,49.66,49.0,Low Value,Profit,1080,2,239,Low Value,Medium Profit,540.0,1080.0,Low,Average
B-25626,2018-04-23,Bhishm,Maharashtra,Mumbai,B-26061,965,-68,3,Electronics,Printers,COD,2018.0,April,2.0,23.0,Monday,-7.05,321.67,Low Value,Loss,4865,3,-984,Low Value,Loss,1621.67,4865.01,High,Average
B-25937,2018-01-05,Ankit,Haryana,Chandigarh,B-25735,12,-2,3,Clothing,Hankerchief,COD,2018.0,January,1.0,5.0,Friday,-16.67,4.0,Low Value,Loss,61,3,14,Low Value,Loss,20.33,60.99,High,Average
B-25610,2018-04-09,Yogesh,Bihar,Patna,B-25616,14,-2,3,Clothing,Hankerchief,UPI,2018.0,April,2.0,9.0,Monday,-14.29,4.67,Low Value,Loss,1408,4,-423,Low Value,Loss,352.0,1408.0,High,Average
B-25777,2018-09-10,Aditi,Madhya Pradesh,Indore,B-25666,934,-916,7,Electronics,Electronic Games,COD,2018.0,September,3.0,10.0,Monday,-98.07,133.43,Low Value,Loss,979,2,-918,Low Value,Loss,489.5,979.0,High,Average
B-25738,2018-08-02,Ayush,Punjab,Chandigarh,B-25675,929,-93,9,Clothing,Saree,COD,2018.0,August,3.0,2.0,Thursday,-10.01,103.22,Low Value,Loss,2355,3,-137,Low Value,Loss,785.0,2355.0,High,Average
B-25978,2018-01-27,Parin,Maharashtra,Mumbai,B-26079,18,3,2,Clothing,Hankerchief,Debit Card,2018.0,January,1.0,27.0,Saturday,16.67,9.0,Low Value,Profit,18,1,3,Low Value,Medium Profit,18.0,18.0,Low,Average
B-25643,2018-04-29,Kirti,Jammu and Kashmir,Kashmir,B-25850,916,192,11,Electronics,Phones,COD,2018.0,April,2.0,29.0,Sunday,20.96,83.27,Low Value,Profit,1461,2,119,Low Value,Medium Profit,730.5,1461.0,Low,Average
B-25728,2018-07-22,Ameesha,Maharashtra,Pune,B-25693,76,-72,9,Clothing,Hankerchief,COD,2018.0,July,3.0,22.0,Sunday,-94.74,8.44,Low Value,Loss,76,1,-72,Low Value,Loss,76.0,76.0,High,Average
B-25749,2018-08-13,Ayush,Maharashtra,Mumbai,B-25852,869,67,4,Furniture,Tables,COD,2018.0,August,3.0,13.0,Monday,7.71,217.25,Low Value,Profit,2355,3,-137,Low Value,Medium Profit,785.0,2355.0,Low,Average
B-25667,2018-05-23,Anjali,Haryana,Chandigarh,B-25860,112,24,3,Clothing,Kurti,COD,2018.0,May,2.0,23.0,Wednesday,21.43,37.33,Low Value,Profit,171,3,36,Low Value,Medium Profit,57.0,171.0,Low,Average
B-25657,2018-05-13,Tulika,Madhya Pradesh,Bhopal,B-25853,39,16,6,Clothing,Skirt,UPI,2018.0,May,2.0,13.0,Sunday,41.03,6.5,Low Value,Profit,343,2,113,Low Value,Medium Profit,171.5,343.0,Low,Average
B-25753,2018-08-17,Shivam,Uttar Pradesh,Lucknow,B-25898,857,-274,2,Furniture,Tables,COD,2018.0,August,3.0,17.0,Friday,-31.97,428.5,Low Value,Loss,906,2,-253,Low Value,Loss,453.0,906.0,High,Average
B-26061,2018-03-14,Anurag,Madhya Pradesh,Indore,B-26100,828,230,2,Furniture,Chairs,COD,2018.0,March,1.0,14.0,Wednesday,27.78,414.0,Low Value,Profit,872,2,190,Low Value,Medium Profit,436.0,872.0,Low,Average
B-25838,2018-10-29,Sanjana,Madhya Pradesh,Indore,B-25653,1279,-640,8,Electronics,Printers,EMI,2018.0,October,4.0,29.0,Monday,-50.04,159.88,Low Value,Loss,2580,2,-67,Low Value,Loss,1290.0,2580.0,High,Average
B-25702,2018-06-27,Shaily,Maharashtra,Mumbai,B-25839,1250,486,7,Clothing,Saree,EMI,2018.0,June,2.0,27.0,Wednesday,38.88,178.57,Low Value,Profit,1250,1,486,Low Value,Medium Profit,1250.0,1250.0,Low,Average
B-25952,2018-01-13,Priyanka,Madhya Pradesh,Indore,B-25651,823,-18,7,Furniture,Chairs,COD,2018.0,January,1.0,13.0,Saturday,-2.19,117.57,Low Value,Loss,2559,4,468,Low Value,Loss,639.75,2559.0,High,Average
B-25666,2018-05-22,Tanvi,Punjab,Chandigarh,B-25957,1157,-13,9,Furniture,Bookcases,Credit Card,2018.0,May,2.0,22.0,Tuesday,-1.12,128.56,Low Value,Loss,1157,1,-13,Low Value,Loss,1157.0,1157.0,High,Average
B-25675,2018-05-31,Shreya,Madhya Pradesh,Bhopal,B-25704,126,-63,3,Electronics,Accessories,UPI,2018.0,May,2.0,31.0,Thursday,-50.0,42.0,Low Value,Loss,1161,6,320,Low Value,Loss,193.5,1161.0,High,Average
B-25650,2018-05-06,Chirag,Maharashtra,Mumbai,B-25730,1145,-706,3,Electronics,Phones,Credit Card,2018.0,May,2.0,6.0,Sunday,-61.66,381.67,Low Value,Loss,1569,2,-978,Low Value,Loss,784.5,1569.0,High,Average
B-25986,2018-01-31,Shweta,Rajasthan,Udaipur,B-26052,774,170,3,Electronics,Accessories,COD,2018.0,January,1.0,31.0,Wednesday,21.96,258.0,Low Value,Profit,1156,3,-64,Low Value,Medium Profit,385.33,1155.99,Low,Average
B-25850,2018-11-05,Abhishek,Goa,Goa,B-25656,24,-1,2,Clothing,Hankerchief,COD,2018.0,November,4.0,5.0,Monday,-4.17,12.0,Low Value,Loss,1144,4,136,Low Value,Loss,286.0,1144.0,High,Average
B-25898,2018-12-07,Abhishek,Rajasthan,Udaipur,B-26033,774,170,3,Electronics,Accessories,COD,2018.0,December,4.0,7.0,Friday,21.96,258.0,Low Value,Profit,1144,4,136,Low Value,Medium Profit,286.0,1144.0,Low,Average
B-25813,2018-10-10,Hrisheekesh,Maharashtra,Mumbai,B-25850,93,-1,2,Clothing,Hankerchief,COD,2018.0,October,4.0,10.0,Wednesday,-1.08,46.5,Low Value,Loss,93,1,-1,Low Value,Loss,93.0,93.0,High,Average
B-25825,2018-10-21,Kartik,Madhya Pradesh,Indore,B-25945,765,-36,3,Electronics,Electronic Games,COD,2018.0,October,4.0,21.0,Sunday,-4.71,255.0,Low Value,Loss,1409,2,131,Low Value,Loss,704.5,1409.0,High,Average
B-25954,2018-01-14,Trupti,Gujarat,Ahmedabad,B-26086,762,101,6,Electronics,Printers,COD,2018.0,January,1.0,14.0,Sunday,13.25,127.0,Low Value,Profit,762,1,101,Low Value,Medium Profit,762.0,762.0,Low,Average
B-25696,2018-06-21,Noopur,Karnataka,Bangalore,B-25752,761,266,9,Electronics,Electronic Games,COD,2018.0,June,2.0,21.0,Thursday,34.95,84.56,Low Value,Profit,761,1,266,Low Value,Medium Profit,761.0,761.0,Low,Average
B-25638,2018-04-26,Parth,Maharashtra,Pune,B-26098,96,-48,5,Clothing,Leggings,UPI,2018.0,April,2.0,26.0,Thursday,-50.0,19.2,Low Value,Loss,1718,2,-496,Low Value,Loss,859.0,1718.0,High,Average
B-25747,2018-08-11,Harsh,Madhya Pradesh,Bhopal,B-26067,1137,-14,7,Electronics,Printers,EMI,2018.0,August,3.0,11.0,Saturday,-1.23,162.43,Low Value,Loss,1381,3,18,Low Value,Loss,460.33,1380.99,High,Average
B-25904,2018-12-10,Swapnil,Delhi,Delhi,B-25730,18,8,2,Clothing,Hankerchief,Debit Card,2018.0,December,4.0,10.0,Monday,44.44,9.0,Low Value,Profit,170,2,58,Low Value,Medium Profit,85.0,170.0,Low,Average
